Generation,Train Accuracy,Validation Accuracy,Fitness,Topology
7,0.386344,0.0723819,264.096,1375 748 149 1 
7,0.449104,0.0992887,412.872,1375 748 1 
7,0.453837,0.103481,433.332,1375 602 1 
7,0.468373,0.135186,554.859,1375 748 1 
7,0.388067,0.125716,414.566,1375 667 1 
7,0.473241,0.10496,462.908,1375 680 1 
7,0.415971,0.0850448,331.526,1375 748 1 
7,0.463656,0.140282,565.37,1375 756 1 
7,0.391897,0.101411,349.716,1375 607 1 
7,0.435841,0.114983,443.385,1375 748 1 
7,0.176083,0.115571,145.674,1375 667 1665 1 
7,0.295836,0.0654486,149.007,1375 680 1542 1 
7,0.410983,0.116137,421.44,1375 149 1 
7,0.522898,0.117057,572.973,1375 748 1 
7,0.429774,0.0882424,357.968,1375 635 1 
7,0.455755,0.119803,486.369,1375 680 1 
7,0.346725,0.085056,247.497,1375 748 762 1 
7,0.19198,0.0697019,73.3505,1375 680 1801 1 
7,0.435932,0.102072,405.941,1375 602 1 
8,0.398749,0.0897942,324.401,1375 748 1 
8,0.385996,0.0862591,300.457,1375 756 1 
8,0.494541,0.12672,564.33,1375 748 1 
8,0.431189,0.105162,408.22,1375 680 1 
8,0.468654,0.158231,637.734,1375 680 1 
8,0.51484,0.11665,559.599,1375 748 1 
8,0.382085,0.0961085,323.787,1375 602 1 
8,0.352047,0.0724897,237.695,1375 149 1 
8,0.40877,0.075871,299.686,1375 677 1 
8,0.260769,0.0259198,53.7081,1375 748 1410 1 
8,0.29244,0.0894469,198.377,1375 149 1924 1 
8,0.432163,0.13914,523.364,1375 110 1 
8,0.389734,0.0765075,272.865,1375 748 669 1 
8,0.280338,0.0263469,70.0932,1375 748 1076 1 
8,0.478187,0.125365,541.532,1375 248 1 
8,0.345629,0.0766765,227.737,1375 680 686 1 
8,0.445481,0.115857,459.757,1375 680 1 
8,0.447602,0.138869,537.081,1375 748 1 
8,0.328647,0.0760044,204.538,1375 748 1153 1 
8,0.4426,0.124399,483.878,1375 602 1 
9,0.454221,0.116179,472.636,1375 680 1 
9,0.420081,0.0746856,308.498,1375 748 1 
9,0.414845,0.121333,435.218,1375 748 1 
9,0.409221,0.0964956,360.955,1375 248 1 
9,0.405562,0.121693,424.17,1375 748 1 
9,0.409123,0.125886,449.231,1375 110 1 
9,0.461663,0.105854,451.019,1375 602 1 
9,0.44424,0.149351,568.794,1375 680 1 
9,0.411769,0.152314,530.086,1375 799 1 
9,0.450588,0.141827,551.497,1375 748 1 
9,0.293509,0.0711718,164.526,1375 748 807 1 
9,0.317494,0.0840361,210.711,1375 680 1365 1 
9,0.420203,0.121243,442.76,1375 680 1 
9,0.46156,0.100252,431.967,1375 748 1 
9,0.301048,0.0618075,152.495,1375 602 901 1 
9,0.294135,0.0514793,120.701,1375 680 1496 1 
9,0.514791,0.117004,566.388,1375 260 1 
9,0.323688,0.0920142,243.149,1375 248 980 1 
9,0.362351,0.0953508,291.805,1375 680 660 1 
9,0.307935,0.051047,150.816,1375 110 109 1 
10,0.502286,0.133798,601.569,1375 680 1 
10,0.449856,0.119176,481.127,1375 260 1 
10,0.421177,0.114684,423.207,1375 748 1 
10,0.417683,0.112546,411.695,1375 799 1 
10,0.459193,0.0973762,420.877,1375 680 1 
10,0.367095,0.0725899,247.735,1375 602 1 
10,0.414001,0.0902231,350.947,1375 110 1 
10,0.385114,0.094435,321.911,1375 680 1 
10,0.289757,0.0321723,85.4327,1375 260 1641 1 
10,0.333777,0.0816517,232.561,1375 680 181 1 
10,0.435257,0.127964,470.998,1375 680 1390 1 
10,0.487646,0.116341,519.08,1375 748 1 
10,0.372691,0.0802499,255.801,1375 602 1740 1 
10,0.358697,0.0727094,222.176,1375 680 1759 1 
10,0.354795,0.108129,323.452,1375 680 31 1 
10,0.324526,0.0968241,249.862,1375 260 1597 1 
10,0.305976,0.0690908,166.418,1375 680 1431 1 
10,0.5205,0.117995,573.405,1375 680 1 
10,0.275902,0.0677865,135.481,1375 799 1563 1 
10,0.299274,0.060005,142.193,1375 748 1338 1 
11,0.494149,0.134202,590.637,1375 680 1 
11,0.46134,0.103116,441.227,1375 680 1 
11,0.408102,0.101997,369.375,1375 748 1 
11,0.46807,0.112708,485.415,1375 260 1 
11,0.303433,0.0893403,208.843,1375 680 1390 1 
11,0.384708,0.0930609,317.025,1375 748 1 
11,0.447344,0.114445,457.827,1375 680 1 
11,0.41638,0.126137,451.589,1375 799 1 
11,0.228316,0.112925,184.282,1375 748 1961 1 
11,0.463343,0.104715,448.101,1375 748 1 
11,0.427043,0.109543,420.914,1375 260 1 
11,0.36536,0.105053,312.51,1375 680 1609 1 
11,0.290024,0.0327778,84.5292,1375 799 1348 1 
11,0.326314,0.0701724,198.381,1375 799 144 1 
11,0.435367,0.0939203,380.478,1375 680 1 
11,0.496483,0.104616,498.61,1375 260 1 
11,0.403442,0.111742,391.433,1375 780 1 
11,0.291148,0.0277148,72.473,1375 748 1949 1 
11,0.185151,0.113981,148.341,1375 799 1778 1 
11,0.334212,0.0919634,240.355,1375 680 1390 731 1 
12,0.460804,0.137085,550.999,1375 680 1 
12,0.483003,0.0830686,413.451,1375 260 1 
12,0.429038,0.0833717,347.925,1375 260 1 
12,0.427497,0.144998,529.445,1375 680 1 
12,0.428589,0.121974,454.937,1375 799 1 
12,0.384861,0.0751249,270.916,1375 748 1 
12,0.393897,0.115474,391.472,1375 680 1 
12,0.496963,0.115722,536.003,1375 260 1 
12,0.381875,0.0733195,253.979,1375 680 1011 1 
12,0.416826,0.132792,473.212,1375 799 1 
12,0.371985,0.0734508,250.135,1375 680 364 1 
12,0.444392,0.125484,488.247,1375 748 1 
12,0.264177,0.0826757,158.928,1375 260 1674 1 
12,0.329644,0.0779165,210.408,1375 799 1040 1 
12,0.490948,0.130943,573.668,1375 746 1 
12,0.307701,0.049218,129.77,1375 260 1644 1 
12,0.408604,0.083561,319.749,1375 680 1 
12,0.431918,0.119641,452.1,1375 799 1 
12,0.256024,0.0850248,156.681,1375 680 1242 1 
12,0.432056,0.114615,439.67,1375 530 1 
13,0.378043,0.0623785,233.085,1375 746 1 
13,0.392996,0.0934777,328.435,1375 680 1 
13,0.486181,0.115932,521.275,1375 260 1 
13,0.344722,0.0830264,248.9,1375 680 1 
13,0.410196,0.0728137,292.578,1375 748 1 
13,0.450479,0.127828,503.845,1375 799 1 
13,0.466648,0.129188,531.411,1375 799 1 
13,0.389464,0.0893851,312.12,1375 799 1 
13,0.29445,0.0947343,223.093,1375 680 248 1 
13,0.292768,0.0463911,112.225,1375 680 1258 1 
13,0.296935,0.080073,193.467,1375 851 1 
