Epoch: 152	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 160	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 168	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 176	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 184	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 192	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 200	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 208	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 216	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 224	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 232	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 240	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
