Epoch: 38	,Training loss (MRSE): 0.702411	,Validation loss (MRSE): 0.806618	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218847	,Validation accuracy (MRAE): 0.138542
Epoch: 40	,Training loss (MRSE): 0.700776	,Validation loss (MRSE): 0.805793	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03707e+07	,Validation accuracy (MAE): -7.46193e+07	,Training accuracy (MRAE): 0.218785	,Validation accuracy (MRAE): 0.138608
Epoch: 42	,Training loss (MRSE): 0.702978	,Validation loss (MRSE): 0.806902	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218022	,Validation accuracy (MRAE): 0.138374
Epoch: 44	,Training loss (MRSE): 0.70304	,Validation loss (MRSE): 0.806934	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.217921	,Validation accuracy (MRAE): 0.138358
Epoch: 46	,Training loss (MRSE): 0.701682	,Validation loss (MRSE): 0.806251	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219186	,Validation accuracy (MRAE): 0.138652
Epoch: 48	,Training loss (MRSE): 0.701975	,Validation loss (MRSE): 0.806399	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219341	,Validation accuracy (MRAE): 0.138686
Epoch: 50	,Training loss (MRSE): 0.70189	,Validation loss (MRSE): 0.806356	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219294	,Validation accuracy (MRAE): 0.138675
Epoch: 52	,Training loss (MRSE): 0.702393	,Validation loss (MRSE): 0.806609	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218875	,Validation accuracy (MRAE): 0.138549
Epoch: 54	,Training loss (MRSE): 0.702048	,Validation loss (MRSE): 0.806436	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219307	,Validation accuracy (MRAE): 0.138672
Epoch: 56	,Training loss (MRSE): 0.702398	,Validation loss (MRSE): 0.806612	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218869	,Validation accuracy (MRAE): 0.138547
Epoch: 58	,Training loss (MRSE): 0.701878	,Validation loss (MRSE): 0.80635	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219287	,Validation accuracy (MRAE): 0.138673
Epoch: 60	,Training loss (MRSE): 0.701755	,Validation loss (MRSE): 0.806289	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219222	,Validation accuracy (MRAE): 0.138659
Epoch: 62	,Training loss (MRSE): 0.702092	,Validation loss (MRSE): 0.806458	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219261	,Validation accuracy (MRAE): 0.138656
Epoch: 64	,Training loss (MRSE): 0.70216	,Validation loss (MRSE): 0.806493	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219184	,Validation accuracy (MRAE): 0.13863
Epoch: 66	,Training loss (MRSE): 0.702032	,Validation loss (MRSE): 0.806429	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219325	,Validation accuracy (MRAE): 0.138678
Epoch: 68	,Training loss (MRSE): 0.702543	,Validation loss (MRSE): 0.806685	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.21867	,Validation accuracy (MRAE): 0.1385
Epoch: 70	,Training loss (MRSE): 0.701655	,Validation loss (MRSE): 0.806239	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.21917	,Validation accuracy (MRAE): 0.138647
Epoch: 72	,Training loss (MRSE): 0.702069	,Validation loss (MRSE): 0.806447	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219289	,Validation accuracy (MRAE): 0.138664
Epoch: 74	,Training loss (MRSE): 0.701664	,Validation loss (MRSE): 0.806243	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219174	,Validation accuracy (MRAE): 0.138648
Epoch: 76	,Training loss (MRSE): 0.702074	,Validation loss (MRSE): 0.80645	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219284	,Validation accuracy (MRAE): 0.138663
Epoch: 78	,Training loss (MRSE): 0.70218	,Validation loss (MRSE): 0.806503	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219163	,Validation accuracy (MRAE): 0.138623
Epoch: 80	,Training loss (MRSE): 0.702002	,Validation loss (MRSE): 0.806414	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.21935	,Validation accuracy (MRAE): 0.138687
Epoch: 82	,Training loss (MRSE): 0.702199	,Validation loss (MRSE): 0.806513	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.21914	,Validation accuracy (MRAE): 0.138616
Epoch: 84	,Training loss (MRSE): 0.702034	,Validation loss (MRSE): 0.80643	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219327	,Validation accuracy (MRAE): 0.138678
Epoch: 86	,Training loss (MRSE): 0.701459	,Validation loss (MRSE): 0.80614	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.219072	,Validation accuracy (MRAE): 0.138629
Epoch: 88	,Training loss (MRSE): 0.702053	,Validation loss (MRSE): 0.806439	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219309	,Validation accuracy (MRAE): 0.138671
Epoch: 90	,Training loss (MRSE): 0.701469	,Validation loss (MRSE): 0.806145	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.219076	,Validation accuracy (MRAE): 0.138629
Epoch: 92	,Training loss (MRSE): 0.702395	,Validation loss (MRSE): 0.806612	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218882	,Validation accuracy (MRAE): 0.138548
Epoch: 94	,Training loss (MRSE): 0.702538	,Validation loss (MRSE): 0.806683	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218685	,Validation accuracy (MRAE): 0.138502
Epoch: 96	,Training loss (MRSE): 0.701987	,Validation loss (MRSE): 0.806407	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219342	,Validation accuracy (MRAE): 0.138684
Epoch: 98	,Training loss (MRSE): 0.701907	,Validation loss (MRSE): 0.806366	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219299	,Validation accuracy (MRAE): 0.138673
Epoch: 100	,Training loss (MRSE): 0.70148	,Validation loss (MRSE): 0.806151	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.21908	,Validation accuracy (MRAE): 0.138629
Epoch: 102	,Training loss (MRSE): 0.702126	,Validation loss (MRSE): 0.806477	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219232	,Validation accuracy (MRAE): 0.138643
Epoch: 104	,Training loss (MRSE): 0.701601	,Validation loss (MRSE): 0.806212	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.219139	,Validation accuracy (MRAE): 0.138639
Epoch: 106	,Training loss (MRSE): 0.702241	,Validation loss (MRSE): 0.806534	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.219091	,Validation accuracy (MRAE): 0.138602
Epoch: 108	,Training loss (MRSE): 0.702413	,Validation loss (MRSE): 0.806621	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218864	,Validation accuracy (MRAE): 0.138543
Epoch: 110	,Training loss (MRSE): 0.701902	,Validation loss (MRSE): 0.806364	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219295	,Validation accuracy (MRAE): 0.138671
Epoch: 112	,Training loss (MRSE): 0.702463	,Validation loss (MRSE): 0.806646	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218795	,Validation accuracy (MRAE): 0.138526
Epoch: 114	,Training loss (MRSE): 0.701893	,Validation loss (MRSE): 0.80636	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.21929	,Validation accuracy (MRAE): 0.13867
Epoch: 116	,Training loss (MRSE): 0.701849	,Validation loss (MRSE): 0.806338	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219266	,Validation accuracy (MRAE): 0.138664
Epoch: 118	,Training loss (MRSE): 0.703834	,Validation loss (MRSE): 0.807331	,Training loss (MSE): 1.5288e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03707e+07	,Validation accuracy (MAE): -7.46215e+07	,Training accuracy (MRAE): 0.216644	,Validation accuracy (MRAE): 0.137806
Epoch: 120	,Training loss (MRSE): 0.701548	,Validation loss (MRSE): 0.806186	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.219111	,Validation accuracy (MRAE): 0.138633
Epoch: 122	,Training loss (MRSE): 0.70276	,Validation loss (MRSE): 0.806795	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218382	,Validation accuracy (MRAE): 0.138435
Epoch: 124	,Training loss (MRSE): 0.701711	,Validation loss (MRSE): 0.806269	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219193	,Validation accuracy (MRAE): 0.138648
Epoch: 126	,Training loss (MRSE): 0.701657	,Validation loss (MRSE): 0.806241	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219165	,Validation accuracy (MRAE): 0.138643
Epoch: 128	,Training loss (MRSE): 0.70278	,Validation loss (MRSE): 0.806805	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218354	,Validation accuracy (MRAE): 0.138429
Epoch: 130	,Training loss (MRSE): 0.702899	,Validation loss (MRSE): 0.806864	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.21817	,Validation accuracy (MRAE): 0.138396
Epoch: 132	,Training loss (MRSE): 0.702649	,Validation loss (MRSE): 0.806739	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218543	,Validation accuracy (MRAE): 0.138468
Epoch: 134	,Training loss (MRSE): 0.701633	,Validation loss (MRSE): 0.80623	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219153	,Validation accuracy (MRAE): 0.138639
