Epoch: 38	,Training loss (MRSE): 0.702364	,Validation loss (MRSE): 0.806611	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218918	,Validation accuracy (MRAE): 0.138557
Epoch: 40	,Training loss (MRSE): 0.701186	,Validation loss (MRSE): 0.806017	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218967	,Validation accuracy (MRAE): 0.138616
Epoch: 42	,Training loss (MRSE): 0.702164	,Validation loss (MRSE): 0.80651	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.219184	,Validation accuracy (MRAE): 0.138628
Epoch: 44	,Training loss (MRSE): 0.702861	,Validation loss (MRSE): 0.80686	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218209	,Validation accuracy (MRAE): 0.138406
Epoch: 46	,Training loss (MRSE): 0.700898	,Validation loss (MRSE): 0.805871	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46195e+07	,Training accuracy (MRAE): 0.218846	,Validation accuracy (MRAE): 0.138607
Epoch: 48	,Training loss (MRSE): 0.701677	,Validation loss (MRSE): 0.806265	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.2192	,Validation accuracy (MRAE): 0.138653
Epoch: 50	,Training loss (MRSE): 0.700703	,Validation loss (MRSE): 0.805773	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46193e+07	,Training accuracy (MRAE): 0.218772	,Validation accuracy (MRAE): 0.138607
Epoch: 52	,Training loss (MRSE): 0.700921	,Validation loss (MRSE): 0.805883	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46195e+07	,Training accuracy (MRAE): 0.218854	,Validation accuracy (MRAE): 0.138607
Epoch: 54	,Training loss (MRSE): 0.702944	,Validation loss (MRSE): 0.806901	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218074	,Validation accuracy (MRAE): 0.138384
Epoch: 56	,Training loss (MRSE): 0.702093	,Validation loss (MRSE): 0.806475	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.21927	,Validation accuracy (MRAE): 0.138654
